Ticker,Proxy,Resolution,n,Pearson,Pearson_p,Spearman,Spearman_p,Beta,R2,Beta_p
CVX,BRENT,hourly,153,0.08588957283199025,0.29113502878010317,0.038768410639254285,0.6342274972298942,0.07404461290183752,0.007377018721261758,0.29113502878010195
CVX,BRENT,daily,21,0.012794535454792644,0.9561036705348067,0.0,1.0,0.004898760391903816,0.0001637001375039462,0.9561036705348062
CVX,WTI,hourly,153,0.15593978678981557,0.054249053303646884,0.09158926728586171,0.26017635277405243,0.1296840813628459,0.02431721710405314,0.054249053303646835
CVX,WTI,daily,21,0.00020098618059778695,0.9993101236801599,-0.07012987012987014,0.7625997832797398,5.949135624507388e-05,4.039544479129398e-08,0.9993101236801597
CVX,LMT,hourly,153,-0.029800387564021022,0.7146122531152209,-0.056163135110503526,0.490479074831644,-0.05335554224712931,0.0008880630989658582,0.7146122531152203
CVX,LMT,daily,21,-0.31714643215927113,0.1612658018840048,-0.2922077922077922,0.19867271696574038,-0.3812530123102449,0.1005818594313552,0.16126580188400483
NVDA,BRENT,hourly,153,-0.1993383149881581,0.013499891081421312,-0.2802161488415777,0.00045113154535309923,-0.14857453664642353,0.0397357638223181,0.013499891081421193
NVDA,BRENT,daily,21,-0.41519512526705216,0.06125249007802735,-0.48571428571428565,0.025600283346738077,-0.19465141256667992,0.17238699204552313,0.06125249007802715
NVDA,WTI,hourly,153,-0.19906817006056587,0.013629379916494754,-0.2590835377213086,0.0012215286729401907,-0.14313048258475272,0.03962813633126237,0.013629379916494816
NVDA,WTI,daily,21,-0.34685087689773986,0.12345833899535526,-0.4168831168831169,0.060100684467873165,-0.1257112392090357,0.1203055308047311,0.12345833899535526
NVDA,LMT,hourly,153,0.2239448095282609,0.0053898418218580975,0.15921488212509882,0.049323226947647326,0.34665638533378873,0.050151277714649105,0.005389841821858061
NVDA,LMT,daily,21,0.20887760887254486,0.36352655871915174,0.20649350649350648,0.369152130659459,0.30746025223310675,0.043629855488311844,0.36352655871915146
PG,BRENT,hourly,153,-0.03071090892778153,0.706287597024273,0.0030071862537254844,0.9705712161359231,-0.011900985704966147,0.0009431599271704916,0.706287597024273
PG,BRENT,daily,21,0.11636775767841516,0.6154404175227098,0.06363636363636363,0.7840544504932397,0.028373278038947417,0.01354145502710236,0.6154404175227097
PG,WTI,hourly,153,-0.0021066912786854505,0.979381239983972,-0.011435674748368246,0.888426083419799,-0.0007875313849693661,4.438148143689363e-06,0.9793812399839695
PG,WTI,daily,21,0.11894259065802068,0.6075899590711072,0.18051948051948052,0.43359467498285803,0.02242023902874574,0.014147339872441472,0.6075899590711064
PG,LMT,hourly,153,-0.19812797699425666,0.014088550309059594,-0.0566623778698082,0.4866252638478328,-0.1594559282416403,0.03925469526783668,0.014088550309059603
PG,LMT,daily,21,-0.1687187048201088,0.4647247263219408,-0.0974025974025974,0.6744677255097004,-0.12916113685016345,0.028466001356175007,0.46472472632194045
